t_us,x,y,z,qw,qx,qy,qz
1532402927958042,410.318809,1178.247601,0.000000,0.572987,-0.002716,0.013289,-0.819452
1532402927964162,410.299779,1178.195784,0.000000,0.572976,-0.002739,0.013342,-0.819459
1532402927997981,410.194946,1177.910161,0.000000,0.572974,-0.002851,0.013690,-0.819454
1532402928000603,410.187935,1177.891174,0.000000,0.573161,-0.002855,0.013713,-0.819323
1532402928003979,410.177724,1177.863383,0.000000,0.573204,-0.002847,0.013739,-0.819293
1532402928004844,410.175108,1177.856262,0.000000,0.573215,-0.002844,0.013745,-0.819285
1532402928012460,410.152106,1177.793606,0.000000,0.573309,-0.002824,0.013801,-0.819218
1532402928020339,410.128322,1177.728783,0.000000,0.573406,-0.002803,0.013859,-0.819149
1532402928021834,410.123810,1177.716482,0.000000,0.573424,-0.002799,0.013871,-0.819136
1532402928027900,410.105520,1177.666599,0.000000,0.573499,-0.002768,0.013908,-0.819084
1532402928032646,410.091232,1177.627608,0.000000,0.573557,-0.002731,0.013944,-0.819042
1532402928037525,410.076548,1177.587519,0.000000,0.573617,-0.002690,0.013982,-0.819000
1532402928039752,410.069846,1177.569219,0.000000,0.573644,-0.002672,0.014001,-0.818981
1532402928047423,410.046794,1177.506221,0.000000,0.573735,-0.002611,0.014071,-0.818916
1532402928047779,410.045699,1177.503252,0.000000,0.573742,-0.002608,0.014075,-0.818911
1532402928079773,409.950029,1177.241047,0.000000,0.574065,-0.002267,0.014215,-0.818683
1532402928093661,409.908018,1177.126325,0.000000,0.574156,-0.002101,0.014200,-0.818620
1532402928098063,409.895391,1177.091068,0.000000,0.574243,-0.002047,0.014196,-0.818559
1532402928102962,409.879599,1177.049042,0.000000,0.574194,-0.001985,0.014188,-0.818594
1532402928104844,409.873847,1177.033405,0.000000,0.574202,-0.001961,0.014184,-0.818589
1532402928112460,409.850669,1176.970211,0.000000,0.574238,-0.001867,0.014166,-0.818564
1532402928114656,409.843985,1176.951990,0.000000,0.574248,-0.001840,0.014161,-0.818557
1532402928120339,409.826684,1176.904839,0.000000,0.574275,-0.001769,0.014147,-0.818538
1532402928127893,409.803703,1176.842202,0.000000,0.574313,-0.001666,0.014118,-0.818513
1532402928137525,409.774472,1176.762445,0.000000,0.574365,-0.001499,0.014037,-0.818478
1532402928146224,409.748083,1176.690425,0.000000,0.574411,-0.001355,0.013937,-0.818447
1532402928147423,409.744455,1176.680512,0.000000,0.574417,-0.001336,0.013922,-0.818443
1532402928147847,409.743152,1176.676973,0.000000,0.574421,-0.001329,0.013917,-0.818441
1532402928154361,409.723456,1176.623154,0.000000,0.574450,-0.001228,0.013814,-0.818422
1532402928154844,409.721994,1176.619161,0.000000,0.574453,-0.001220,0.013806,-0.818420
1532402928162460,409.698941,1176.556198,0.000000,0.574489,-0.001100,0.013668,-0.818397
1532402928167268,409.684461,1176.516510,0.000000,0.574525,-0.001021,0.013574,-0.818374
1532402928170339,409.675295,1176.491224,0.000000,0.574562,-0.000969,0.013513,-0.818349
1532402928177893,409.652754,1176.429023,0.000000,0.574653,-0.000833,0.013362,-0.818287
1532402928178424,409.651170,1176.424651,0.000000,0.574660,-0.000824,0.013352,-0.818283
1532402928187528,409.624056,1176.349912,0.000000,0.574746,-0.000658,0.013184,-0.818226
1532402928189219,409.619041,1176.336152,0.000000,0.574749,-0.000628,0.013156,-0.818224
1532402928197423,409.594704,1176.269395,0.000000,0.574766,-0.000500,0.013055,-0.818213
1532402928197613,409.594056,1176.267739,0.000000,0.574780,-0.000497,0.013053,-0.818204
1532402928220722,409.525697,1176.080727,0.000000,0.574756,-0.000129,0.012803,-0.818225
1532402928224737,409.513821,1176.048408,0.000000,0.574742,-0.000064,0.012765,-0.818235
1532402928242722,409.459548,1175.899266,0.000000,0.574825,0.000166,0.012652,-0.818179
1532402928247914,409.443862,1175.856134,0.000000,0.574851,0.000202,0.012636,-0.818160
1532402928253179,409.428046,1175.812543,0.000000,0.574877,0.000232,0.012645,-0.818142
1532402928254844,409.423034,1175.798741,0.000000,0.574886,0.000241,0.012649,-0.818136
1532402928262460,409.400107,1175.735609,0.000000,0.574924,0.000305,0.012676,-0.818109
1532402928269133,409.380039,1175.680338,0.000000,0.574957,0.000382,0.012706,-0.818085
1532402928270339,409.376417,1175.670360,0.000000,0.574963,0.000396,0.012711,-0.818080
1532402928277893,409.353730,1175.607858,0.000000,0.575001,0.000484,0.012745,-0.818053
1532402928287525,409.324756,1175.528038,0.000000,0.575060,0.000631,0.012788,-0.818011
1532402928294922,409.302378,1175.466365,0.000000,0.575133,0.000770,0.012834,-0.817959
1532402928295721,409.299961,1175.459703,0.000000,0.575141,0.000786,0.012839,-0.817953
1532402928297423,409.294814,1175.445512,0.000000,0.575158,0.000819,0.012851,-0.817941
1532402928297687,409.294279,1175.444084,0.000000,0.575101,0.000802,0.012832,-0.817981
1532402928312159,409.250327,1175.322791,0.000000,0.575298,0.001073,0.012960,-0.817840
1532402928323272,409.216856,1175.230379,0.000000,0.575397,0.001257,0.013046,-0.817769
1532402928344701,409.152552,1175.052632,0.000000,0.575574,0.001525,0.013221,-0.817641
1532402928347997,409.142671,1175.025298,0.000000,0.575601,0.001555,0.013252,-0.817622
1532402928354844,409.122079,1174.968392,0.000000,0.575566,0.001674,0.013304,-0.817645
1532402928362460,409.099165,1174.905130,0.000000,0.575551,0.001820,0.013387,-0.817654
1532402928365068,409.091313,1174.883467,0.000000,0.575546,0.001872,0.013426,-0.817657
1532402928369615,409.077691,1174.845786,0.000000,0.575545,0.001962,0.013494,-0.817657
1532402928370339,409.075523,1174.839788,0.000000,0.575545,0.001975,0.013506,-0.817656
1532402928377893,409.052891,1174.777205,0.000000,0.575543,0.002115,0.013633,-0.817655
1532402928387525,409.024090,1174.697590,0.000000,0.575546,0.002287,0.013784,-0.817650
1532402928387536,409.024058,1174.697500,0.000000,0.575546,0.002287,0.013784,-0.817650
1532402928397423,408.994770,1174.616448,0.000000,0.575565,0.002377,0.013923,-0.817634
1532402928398014,408.993019,1174.611603,0.000000,0.575566,0.002382,0.013931,-0.817633
1532402928400559,408.984882,1174.589437,0.000000,0.575539,0.002403,0.013967,-0.817651
1532402928404844,408.972775,1174.555614,0.000000,0.575578,0.002426,0.014023,-0.817623
1532402928412460,408.950270,1174.493302,0.000000,0.575600,0.002468,0.014122,-0.817605
1532402928419282,408.930111,1174.437502,0.000000,0.575621,0.002506,0.014211,-0.817589
1532402928420339,408.926987,1174.428856,0.000000,0.575624,0.002512,0.014224,-0.817587
1532402928427893,408.904593,1174.366719,0.000000,0.575668,0.002546,0.014328,-0.817554
1532402928437525,408.875918,1174.286760,0.000000,0.575766,0.002573,0.014440,-0.817483
1532402928440809,408.866144,1174.259496,0.000000,0.575799,0.002583,0.014477,-0.817459
1532402928444581,408.854920,1174.228178,0.000000,0.575837,0.002595,0.014520,-0.817431
1532402928447423,408.846474,1174.204609,0.000000,0.575864,0.002605,0.014553,-0.817412
1532402928448094,408.844469,1174.199010,0.000000,0.575873,0.002607,0.014561,-0.817405
1532402928462113,408.802862,1174.082873,0.000000,0.575999,0.002596,0.014671,-0.817314
1532402928494684,408.706595,1173.814942,0.000000,0.576285,0.002241,0.014676,-0.817114
1532402928497881,408.697165,1173.787307,0.000000,0.576343,0.002238,0.014717,-0.817072
1532402928504844,408.676582,1173.732432,0.000000,0.576351,0.002038,0.014590,-0.817070
1532402928512460,408.654149,1173.670662,0.000000,0.576401,0.001881,0.014518,-0.817036
1532402928514602,408.647842,1173.653293,0.000000,0.576415,0.001837,0.014498,-0.817026
1532402928515756,408.644444,1173.643935,0.000000,0.576423,0.001814,0.014487,-0.817021
1532402928520339,408.630949,1173.606772,0.000000,0.576453,0.001719,0.014444,-0.817001
1532402928527893,408.608721,1173.545618,0.000000,0.576500,0.001545,0.014373,-0.816969
1532402928532309,408.595751,1173.510013,0.000000,0.576523,0.001430,0.014339,-0.816954
1532402928537525,408.580431,1173.467958,0.000000,0.576549,0.001295,0.014299,-0.816936
1532402928543123,408.563988,1173.422823,0.000000,0.576578,0.001148,0.014227,-0.816918
1532402928547423,408.551371,1173.388171,0.000000,0.576599,0.001034,0.014166,-0.816904
1532402928547633,408.550741,1173.386461,0.000000,0.576600,0.001029,0.014163,-0.816903
1532402928569236,408.487482,1173.212573,0.000000,0.576708,0.000313,0.013978,-0.816831
1532402928585760,408.439216,1173.079640,0.000000,0.576802,-0.000314,0.013663,-0.816770
1532402928589310,408.428872,1173.050575,0.000000,0.576859,-0.000452,0.013606,-0.816730
1532402928597959,408.403679,1172.979746,0.000000,0.576998,-0.000806,0.013504,-0.816633
1532402928604844,408.383632,1172.923347,0.000000,0.577109,-0.001063,0.013403,-0.816556
1532402928608067,408.374270,1172.896990,0.000000,0.577157,-0.001175,0.013351,-0.816523
1532402928612460,408.361519,1172.861080,0.000000,0.577221,-0.001328,0.013280,-0.816479
1532402928618718,408.343360,1172.809917,0.000000,0.577311,-0.001546,0.013178,-0.816416
1532402928627893,408.316384,1172.734523,0.000000,0.577395,-0.001856,0.012999,-0.816360
1532402928637525,408.286819,1172.654158,0.000000,0.577321,-0.002135,0.012796,-0.816414
1532402928644763,408.264553,1172.593766,0.000000,0.577266,-0.002308,0.012652,-0.816455
1532402928647423,408.256440,1172.571651,0.000000,0.577251,-0.002370,0.012599,-0.816466
1532402928647703,408.255497,1172.569236,0.000000,0.577244,-0.002376,0.012594,-0.816471
1532402928654844,408.233812,1172.509985,0.000000,0.577208,-0.002517,0.012447,-0.816498
1532402928660824,408.215555,1172.460294,0.000000,0.577174,-0.002616,0.012330,-0.816524
1532402928662460,408.210557,1172.446700,0.000000,0.577165,-0.002635,0.012301,-0.816531
1532402928664886,408.203142,1172.426542,0.000000,0.577151,-0.002664,0.012259,-0.816541
1532402928670339,408.186531,1172.381314,0.000000,0.577120,-0.002729,0.012163,-0.816564
1532402928677893,408.163505,1172.318682,0.000000,0.577077,-0.002818,0.012030,-0.816596
1532402928682384,408.149797,1172.281447,0.000000,0.577052,-0.002869,0.011955,-0.816615
1532402928687525,408.134587,1172.239365,0.000000,0.577060,-0.002923,0.011877,-0.816610
1532402928688806,408.130921,1172.229014,0.000000,0.577071,-0.002936,0.011859,-0.816603
1532402928697423,408.106265,1172.159387,0.000000,0.577146,-0.002991,0.011753,-0.816551
1532402928698048,408.101879,1172.151578,0.000000,0.576964,-0.002992,0.011746,-0.816680
1532402928719956,408.041944,1171.977583,0.000000,0.577338,-0.003080,0.011553,-0.816418
1532402928730857,408.010910,1171.889786,0.000000,0.577427,-0.003090,0.011515,-0.816355
1532402928734834,407.999603,1171.857785,0.000000,0.577458,-0.003080,0.011520,-0.816333
1532402928747840,407.962639,1171.753125,0.000000,0.577560,-0.003037,0.011585,-0.816260
1532402928753857,407.945183,1171.704713,0.000000,0.577623,-0.003000,0.011642,-0.816215
1532402928754844,407.942337,1171.696771,0.000000,0.577633,-0.002994,0.011652,-0.816208
1532402928762460,407.920373,1171.635487,0.000000,0.577708,-0.002921,0.011736,-0.816154
1532402928770339,407.897704,1171.572174,0.000000,0.577789,-0.002822,0.011834,-0.816095
1532402928777893,407.876011,1171.511535,0.000000,0.577871,-0.002719,0.011948,-0.816036
1532402928787525,407.848310,1171.434214,0.000000,0.577965,-0.002583,0.012116,-0.815968
1532402928797423,407.819585,1171.354782,0.000000,0.578008,-0.002431,0.012288,-0.815935
1532402928797556,407.819576,1171.353672,0.000000,0.578083,-0.002440,0.012299,-0.815882
1532402928799996,407.812116,1171.334134,0.000000,0.578019,-0.002391,0.012333,-0.815926
1532402928805704,407.795543,1171.288328,0.000000,0.578044,-0.002298,0.012420,-0.815908
1532402928809367,407.784961,1171.259001,0.000000,0.578063,-0.002238,0.012476,-0.815894
1532402928828274,407.730582,1171.107858,0.000000,0.578184,-0.001919,0.012762,-0.815805
1532402928833463,407.716137,1171.066785,0.000000,0.578262,-0.001847,0.012862,-0.815748
1532402928847884,407.676013,1170.952600,0.000000,0.578480,-0.001648,0.013156,-0.815589
1532402928854844,407.656724,1170.897664,0.000000,0.578570,-0.001555,0.013301,-0.815523
1532402928862460,407.635608,1170.837493,0.000000,0.578672,-0.001463,0.013451,-0.815448
1532402928870339,407.613804,1170.775313,0.000000,0.578776,-0.001384,0.013591,-0.815372
1532402928875841,407.598598,1170.731919,0.000000,0.578847,-0.001339,0.013672,-0.815321
1532402928877893,407.592928,1170.715734,0.000000,0.578873,-0.001323,0.013702,-0.815301
1532402928879993,407.587126,1170.699169,0.000000,0.578900,-0.001304,0.013729,-0.815282
1532402928880896,407.584631,1170.692046,0.000000,0.578912,-0.001296,0.013739,-0.815273
1532402928887525,407.566246,1170.639685,0.000000,0.578985,-0.001237,0.013818,-0.815220
1532402928897661,407.538338,1170.559780,0.000000,0.579128,-0.001140,0.013844,-0.815118
1532402928902210,407.525226,1170.523406,0.000000,0.579093,-0.001088,0.013841,-0.815143
1532402928904844,407.517870,1170.502549,0.000000,0.579112,-0.001058,0.013838,-0.815130
1532402928908896,407.506587,1170.470522,0.000000,0.579142,-0.001011,0.013834,-0.815109
1532402928912460,407.496667,1170.442361,0.000000,0.579168,-0.000970,0.013830,-0.815090
1532402928920339,407.474736,1170.380105,0.000000,0.579225,-0.000879,0.013821,-0.815050
1532402928927893,407.453761,1170.320438,0.000000,0.579291,-0.000796,0.013794,-0.815003
1532402928937525,407.427193,1170.244414,0.000000,0.579411,-0.000686,0.013706,-0.814920
1532402928945036,407.406484,1170.185120,0.000000,0.579503,-0.000583,0.013590,-0.814856
1532402928947423,407.399916,1170.166305,0.000000,0.579529,-0.000550,0.013551,-0.814839
1532402928947454,407.399669,1170.165731,0.000000,0.579597,-0.000550,0.013550,-0.814790
1532402928950981,407.390128,1170.138259,0.000000,0.579568,-0.000501,0.013487,-0.814812
1532402928955003,407.379066,1170.106555,0.000000,0.579611,-0.000448,0.013413,-0.814783
1532402928972713,407.330437,1169.967079,0.000000,0.579804,-0.000259,0.013105,-0.814651
1532402928983493,407.300910,1169.882302,0.000000,0.579923,-0.000136,0.012925,-0.814569
1532402928997729,407.261938,1169.770333,0.000000,0.580080,-0.000012,0.012723,-0.814460
1532402929004844,407.243430,1169.716101,0.000000,0.580136,0.000042,0.012650,-0.814422
1532402929012460,407.223045,1169.657031,0.000000,0.580211,0.000101,0.012573,-0.814369
1532402929020339,407.201980,1169.595974,0.000000,0.580290,0.000161,0.012494,-0.814314
1532402929025045,407.189398,1169.559505,0.000000,0.580336,0.000194,0.012449,-0.814282
1532402929025812,407.187347,1169.553562,0.000000,0.580344,0.000199,0.012442,-0.814276
1532402929027893,407.181762,1169.537416,0.000000,0.580367,0.000211,0.012424,-0.814260
1532402929029829,407.176567,1169.522395,0.000000,0.580389,0.000222,0.012408,-0.814245
1532402929037525,407.155918,1169.462679,0.000000,0.580474,0.000250,0.012355,-0.814185
1532402929047423,407.129379,1169.385887,0.000000,0.580582,0.000260,0.012290,-0.814109
1532402929047500,407.129167,1169.385271,0.000000,0.580585,0.000260,0.012289,-0.814107
1532402929047939,407.127997,1169.381888,0.000000,0.580587,0.000260,0.012286,-0.814105
1532402929052993,407.114465,1169.342723,0.000000,0.580637,0.000266,0.012268,-0.814070
1532402929095770,406.999817,1169.009201,0.000000,0.581073,0.000423,0.012164,-0.813760
1532402929097814,406.994745,1168.995618,0.000000,0.581063,0.000433,0.012159,-0.813768
1532402929100097,406.988119,1168.974742,0.000000,0.581126,0.000443,0.012152,-0.813723
1532402929100302,406.987564,1168.973109,0.000000,0.581129,0.000444,0.012152,-0.813721
1532402929104844,406.975288,1168.936933,0.000000,0.581184,0.000463,0.012137,-0.813681
1532402929112460,406.954761,1168.876447,0.000000,0.581265,0.000496,0.012114,-0.813624
1532402929118017,406.939792,1168.832321,0.000000,0.581323,0.000519,0.012096,-0.813582
1532402929120339,406.933539,1168.813881,0.000000,0.581348,0.000529,0.012089,-0.813565
1532402929127893,406.913217,1168.753948,0.000000,0.581424,0.000565,0.012072,-0.813511
1532402929128438,406.911754,1168.749633,0.000000,0.581429,0.000568,0.012072,-0.813507
1532402929137525,406.887365,1168.677685,0.000000,0.581513,0.000610,0.012087,-0.813447
1532402929147423,406.860775,1168.599531,0.000000,0.581591,0.000642,0.012161,-0.813390
1532402929147593,406.860358,1168.597956,0.000000,0.581605,0.000642,0.012163,-0.813380
1532402929154844,406.840705,1168.541739,0.000000,0.581604,0.000664,0.012243,-0.813380
1532402929162460,406.820103,1168.482430,0.000000,0.581617,0.000684,0.012321,-0.813369
1532402929170339,406.798837,1168.421161,0.000000,0.581632,0.000704,0.012395,-0.813357
1532402929171003,406.797047,1168.416003,0.000000,0.581633,0.000706,0.012401,-0.813356
1532402929174655,406.787203,1168.387629,0.000000,0.581641,0.000718,0.012434,-0.813350
1532402929175111,406.785974,1168.384086,0.000000,0.581642,0.000719,0.012438,-0.813349
1532402929177893,406.778475,1168.362472,0.000000,0.581648,0.000728,0.012463,-0.813345
1532402929187525,406.752489,1168.287468,0.000000,0.581669,0.000751,0.012550,-0.813329
1532402929192815,406.738183,1168.245977,0.000000,0.581682,0.000762,0.012600,-0.813318
1532402929197353,406.726006,1168.211287,0.000000,0.581688,0.000771,0.012643,-0.813313
1532402929197423,406.725720,1168.209835,0.000000,0.581694,0.000771,0.012643,-0.813309
1532402929198900,406.721726,1168.198251,0.000000,0.581697,0.000774,0.012657,-0.813307
1532402929247684,406.591363,1167.817037,0.000000,0.581953,0.000798,0.013038,-0.813117
1532402929254844,406.572517,1167.761391,0.000000,0.582003,0.000785,0.013068,-0.813081
1532402929262460,406.552457,1167.702135,0.000000,0.582059,0.000756,0.013110,-0.813041
1532402929262554,406.552209,1167.701403,0.000000,0.582059,0.000756,0.013111,-0.813040
1532402929270339,406.531748,1167.640939,0.000000,0.582117,0.000714,0.013172,-0.812998
1532402929277893,406.511919,1167.582324,0.000000,0.582174,0.000673,0.013254,-0.812956
1532402929287525,406.486476,1167.507431,0.000000,0.582232,0.000621,0.013344,-0.812913
1532402929297423,406.459488,1167.429730,0.000000,0.582223,0.000567,0.013399,-0.812918
1532402929297445,406.460616,1167.430600,0.000000,0.582319,0.000566,0.013399,-0.812849
1532402929315729,406.410417,1167.287082,0.000000,0.582258,0.000459,0.013484,-0.812892
1532402929319536,406.400362,1167.257593,0.000000,0.582274,0.000436,0.013502,-0.812880
1532402929325201,406.385397,1167.213713,0.000000,0.582298,0.000400,0.013523,-0.812863
1532402929332789,406.365348,1167.154939,0.000000,0.582329,0.000354,0.013527,-0.812840
1532402929347784,406.325710,1167.038797,0.000000,0.582391,0.000317,0.013445,-0.812797
1532402929349600,406.321252,1167.025129,0.000000,0.582408,0.000318,0.013428,-0.812786
1532402929354844,406.307808,1166.984999,0.000000,0.582440,0.000323,0.013378,-0.812764
1532402929362460,406.288282,1166.926717,0.000000,0.582487,0.000332,0.013304,-0.812731
1532402929370339,406.268131,1166.866523,0.000000,0.582537,0.000340,0.013218,-0.812697
1532402929377893,406.248841,1166.808879,0.000000,0.582585,0.000347,0.013111,-0.812664
1532402929391105,406.214581,1166.707629,0.000000,0.582656,0.000353,0.012909,-0.812616
1532402929395177,406.203802,1166.676243,0.000000,0.582671,0.000359,0.012850,-0.812606
1532402929397532,406.198684,1166.659017,0.000000,0.582712,0.000362,0.012816,-0.812578
1532402929400170,406.190583,1166.637759,0.000000,0.582691,0.000361,0.012778,-0.812594
1532402929404844,406.178204,1166.601735,0.000000,0.582708,0.000356,0.012711,-0.812582
1532402929408481,406.168614,1166.573771,0.000000,0.582725,0.000352,0.012658,-0.812571
1532402929412460,406.158130,1166.543198,0.000000,0.582743,0.000347,0.012601,-0.812559
1532402929418292,406.142758,1166.498387,0.000000,0.582770,0.000340,0.012517,-0.812541
1532402929427893,406.117384,1166.424625,0.000000,0.582805,0.000321,0.012386,-0.812517
1532402929437525,406.091730,1166.350645,0.000000,0.582812,0.000278,0.012279,-0.812514
1532402929447305,406.065651,1166.275531,0.000000,0.582818,0.000234,0.012171,-0.812511
1532402929447423,406.065396,1166.274684,0.000000,0.582823,0.000223,0.012206,-0.812507
1532402929465934,406.016465,1166.132999,0.000000,0.582871,0.000077,0.012066,-0.812475
1532402929470427,406.004694,1166.098686,0.000000,0.582900,0.000039,0.012035,-0.812455
1532402929478273,405.984340,1166.038888,0.000000,0.582981,-0.000027,0.011982,-0.812397
1532402929479324,405.981614,1166.030878,0.000000,0.582992,-0.000036,0.011977,-0.812390
1532402929493835,405.944104,1165.920411,0.000000,0.583140,-0.000142,0.011915,-0.812284
1532402929497629,405.934150,1165.891355,0.000000,0.583181,-0.000160,0.011905,-0.812255
1532402929504844,405.915725,1165.836664,0.000000,0.583252,-0.000194,0.011887,-0.812204
1532402929512460,405.896160,1165.778907,0.000000,0.583323,-0.000232,0.011867,-0.812154
1532402929520339,405.875950,1165.719231,0.000000,0.583392,-0.000271,0.011847,-0.812104
1532402929527893,405.856537,1165.662027,0.000000,0.583444,-0.000300,0.011830,-0.812067
1532402929535739,405.836280,1165.602638,0.000000,0.583466,-0.000325,0.011800,-0.812052
1532402929537525,405.831669,1165.589119,0.000000,0.583470,-0.000331,0.011793,-0.812049
1532402929540452,405.824113,1165.566964,0.000000,0.583478,-0.000337,0.011776,-0.812043
1532402929547408,405.806154,1165.514312,0.000000,0.583497,-0.000364,0.011752,-0.812030
1532402929547423,405.806131,1165.514238,0.000000,0.583496,-0.000339,0.011726,-0.812032
1532402929550354,405.798589,1165.492116,0.000000,0.583501,-0.000340,0.011702,-0.812028
1532402929553346,405.790890,1165.469533,0.000000,0.583506,-0.000340,0.011676,-0.812025
1532402929568899,405.750702,1165.351841,0.000000,0.583524,-0.000346,0.011569,-0.812014
1532402929597695,405.675046,1165.131763,0.000000,0.583494,-0.000443,0.011466,-0.812037
1532402929604844,405.656319,1165.077314,0.000000,0.583482,-0.000459,0.011455,-0.812045
1532402929611159,405.639833,1165.029293,0.000000,0.583475,-0.000484,0.011446,-0.812050
1532402929612460,405.636436,1165.019401,0.000000,0.583473,-0.000489,0.011444,-0.812051
1532402929614969,405.629884,1165.000324,0.000000,0.583471,-0.000498,0.011441,-0.812053
1532402929620339,405.615857,1164.959495,0.000000,0.583465,-0.000519,0.011434,-0.812058
1532402929623318,405.608072,1164.936845,0.000000,0.583462,-0.000532,0.011433,-0.812060
1532402929627893,405.595923,1164.901387,0.000000,0.583455,-0.000556,0.011442,-0.812065
